Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
2021-12-31;34700;34700;34700;33980;44,95K;0,00%
2021-12-29;34700;33300;34700;32700;46,85K;4,24%
2021-12-28;33290;32960;33290;32790;34,65K;1,00%
2021-12-27;32960;32500;33260;32500;7,81K;-1,26%
2021-12-24;33380;32750;33700;32700;12,96K;1,15%
2021-12-23;33000;33490;33680;33000;107,98K;-2,02%
2021-12-22;33680;33390;33680;32400;76,05K;3,63%
2021-12-21;32500;33300;33600;32500;264,25K;-3,56%
2021-12-20;33700;32990;33890;32290;101,61K;-1,35%
2021-12-17;34160;34490;34500;32530;618,99K;0,47%
2021-12-16;34000;33100;34000;33000;159,40K;4,33%
2021-12-15;32590;33320;33320;31710;47,25K;3,43%
2021-12-14;31510;31800;31800;31100;102,23K;1,97%
2021-12-13;30900;31790;33110;30900;49,13K;-4,10%
2021-12-10;32220;32220;32500;32100;50,06K;-1,17%
2021-12-09;32600;30300;33300;30300;152,74K;0,93%
2021-12-07;32300;34570;34570;32300;399,60K;-6,40%
2021-12-06;34510;34600;35200;34510;183,64K;-1,40%
2021-12-03;35000;35130;36490;35000;216,79K;-2,45%
2021-12-02;35880;34000;35880;34000;446,52K;4,00%
2021-12-01;34500;32660;34960;32660;1,13M;6,58%
2021-11-30;32370;30400;32370;30300;669,01K;6,48%
2021-11-29;30400;30350;30700;30210;247,78K;1,16%
2021-11-26;30050;30220;30390;29510;91,20K;-1,64%
2021-11-25;30550;30800;30800;30500;69,41K;0,16%
2021-11-24;30500;30100;30500;30100;30,21K;0,66%
2021-11-23;30300;30530;30570;30000;26,33K;0,03%
2021-11-22;30290;30400;31460;30290;52,03K;0,97%
2021-11-19;30000;30530;30850;30000;59,50K;-2,91%
2021-11-18;30900;30790;31110;30660;137,33K;0,98%
2021-11-17;30600;31100;31100;29630;859,66K;-1,61%
2021-11-16;31100;31940;31940;31040;82,53K;-3,30%
2021-11-12;32160;31800;32160;31630;33,62K;-0,12%
2021-11-11;32200;32790;32790;32130;125,73K;-0,03%
2021-11-10;32210;32880;32880;32110;54,00K;-2,04%
2021-11-09;32880;33030;33190;32600;197,10K;-1,79%
2021-11-08;33480;33220;33500;33220;97,07K;0,06%
2021-11-05;33460;33630;33800;33280;116,08K;0,18%
2021-11-04;33400;34200;34200;33400;78,99K;-1,76%
2021-11-03;34000;34100;34100;33860;142,30K;0,00%
2021-11-02;34000;34000;34100;33750;113,48K;0,95%
2021-10-29;33680;34230;34280;33460;243,68K;-2,35%
2021-10-28;34490;34300;34490;34120;91,76K;0,12%
2021-10-27;34450;33580;34500;33580;117,57K;-0,14%
2021-10-26;34500;34050;34500;34050;140,74K;0,88%
2021-10-25;34200;33790;34200;33510;59,08K;2,21%
2021-10-22;33460;34180;34300;33460;52,73K;-1,70%
2021-10-21;34040;34400;34400;33780;115,18K;-0,56%
2021-10-20;34230;33700;34390;33700;69,48K;0,29%
2021-10-19;34130;34250;34480;34020;89,84K;-1,24%
2021-10-15;34560;33600;34940;33600;298,46K;0,52%
2021-10-14;34380;33200;34380;33200;227,15K;3,62%
2021-10-13;33180;32620;33180;32590;111,14K;2,03%
2021-10-12;32520;32900;32940;32520;58,06K;-2,43%
2021-10-11;33330;33500;33600;33300;41,49K;-0,21%
2021-10-08;33400;33490;33780;33260;94,03K;-0,24%
2021-10-07;33480;33000;33510;33000;184,61K;1,45%
2021-10-06;33000;32810;33000;32320;110,70K;-0,30%
2021-10-05;33100;32900;33380;32900;36,96K;-0,54%
2021-10-04;33280;32950;33290;32950;76,07K;0,85%
2021-10-01;33000;32960;33260;32940;74,76K;0,12%
2021-09-30;32960;32010;32960;32010;126,96K;0,86%
2021-09-29;32680;32120;32830;31920;100,53K;0,80%
2021-09-28;32420;32000;32490;31700;170,65K;0,15%
2021-09-27;32370;31200;32370;31200;248,70K;4,83%
2021-09-24;30880;30690;30880;30400;56,37K;0,78%
2021-09-23;30640;30670;30760;30500;132,32K;0,46%
2021-09-22;30500;30700;30760;30500;86,91K;-0,23%
2021-09-21;30570;31000;31080;30570;322,40K;-1,07%
