Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
2019-12-30;44000;43800;44000;43520;96,16K;0,46%
2019-12-27;43800;43800;44000;43400;82,15K;0,23%
2019-12-26;43700;45500;45500;43500;52,07K;-3,96%
2019-12-24;45500;45500;45500;45500;1,28K;1,47%
2019-12-23;44840;43700;44840;43700;69,13K;2,56%
2019-12-20;43720;44300;44500;43600;639,80K;-1,31%
2019-12-19;44300;43480;44300;42760;108,65K;1,89%
2019-12-18;43480;43380;43500;43020;263,66K;0,42%
2019-12-17;43300;42960;43300;42500;122,67K;0,79%
2019-12-16;42960;42700;42960;42140;106,09K;1,08%
2019-12-13;42500;42200;42960;42200;233,33K;0,71%
2019-12-12;42200;41700;42200;41600;88,24K;1,20%
2019-12-11;41700;41320;41700;41300;23,61K;0,97%
2019-12-10;41300;42200;42440;41300;97,18K;-1,67%
2019-12-09;42000;42240;42580;42000;215,91K;0,00%
2019-12-06;42000;42200;42280;42000;405,05K;0,00%
2019-12-05;42000;42200;42540;41500;144,66K;-0,94%
2019-12-04;42400;41300;42400;41300;92,38K;2,22%
2019-12-03;41480;41200;41480;40940;180,76K;-0,29%
2019-12-02;41600;41500;41600;41100;56,11K;-0,19%
2019-11-29;41680;41600;41680;41000;195,32K;0,19%
2019-11-28;41600;41120;41640;41100;25,41K;1,22%
2019-11-27;41100;41100;41400;40820;259,27K;-2,10%
2019-11-26;41980;41000;41980;39900;746,99K;1,65%
2019-11-25;41300;42400;42400;41300;171,74K;-2,59%
2019-11-22;42400;41980;42400;41800;80,63K;0,38%
2019-11-21;42240;41780;42240;41540;92,43K;0,67%
2019-11-20;41960;42000;42300;41320;118,89K;0,00%
2019-11-19;41960;41780;41960;41400;49,38K;-0,10%
2019-11-18;42000;41720;42000;41520;43,43K;0,67%
2019-11-15;41720;42280;42460;41620;34,92K;-0,10%
2019-11-14;41760;41860;41920;41740;94,18K;0,00%
2019-11-13;41760;41980;42560;41500;162,21K;-0,52%
2019-11-12;41980;42240;42260;41560;271,99K;-1,59%
2019-11-08;42660;43000;43740;42100;187,99K;-1,71%
2019-11-07;43400;44000;44200;42900;94,49K;-0,87%
2019-11-06;43780;43020;43800;43020;134,87K;-0,05%
2019-11-05;43800;42000;43800;42000;379,29K;4,39%
