"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01 ago 2022","2.257,0","2.285,0","2.485,0","2.200,0","23,85M","-1,01%"
"01 jul 2022","2.280,0","2.270,0","2.390,0","2.060,0","7,96M","1,20%"
"01 jun 2022","2.253,0","3.230,0","3.320,0","2.005,0","260,01M","-27,79%"
"01 may 2022","3.120,0","3.200,0","3.480,0","2.740,0","226,20M","-2,68%"
"01 abr 2022","3.206,0","3.533,0","3.660,0","3.192,0","180,95M","-9,38%"
"01 mar 2022","3.538,0","3.250,0","3.610,0","3.066,0","316,04M","8,43%"
"01 feb 2022","3.263,0","2.905,0","3.263,0","2.817,0","216,80M","12,32%"
"01 ene 2022","2.905,0","2.651,0","3.080,0","2.605,0","204,08M","7,99%"
"01 dic 2021","2.690,0","2.600,0","2.735,0","2.555,0","91,66M","3,46%"
"01 nov 2021","2.600,0","2.869,0","2.956,0","2.503,0","156,46M","-8,68%"
"01 oct 2021","2.847,0","2.725,0","2.990,0","2.720,0","179,94M","4,13%"
"01 sept 2021","2.734,0","2.622,0","2.761,0","2.501,0","198,97M","3,44%"
"01 ago 2021","2.643,0","2.633,0","2.690,0","2.470,0","194,00M","0,38%"
"01 jul 2021","2.633,0","2.760,0","2.875,0","2.440,0","140,19M","-3,27%"
"01 jun 2021","2.722,0","2.245,0","2.790,0","2.230,0","150,99M","24,29%"
"01 may 2021","2.190,0","2.200,0","2.418,0","2.151,0","153,26M","-0,90%"
"01 abr 2021","2.210,0","2.333,0","2.374,0","2.210,0","167,81M","-6,59%"
"01 mar 2021","2.366,0","2.265,0","2.480,0","2.240,0","235,20M","5,16%"
"01 feb 2021","2.250,0","2.068,0","2.349,0","2.028,0","212,26M","10,84%"
"01 ene 2021","2.030,0","2.245,0","2.491,0","2.030,0","248,14M","-9,58%"
"01 dic 2020","2.245,0","2.106,0","2.380,0","2.102,0","225,78M","7,88%"
"01 nov 2020","2.081,0","1.795,0","2.260,0","1.795,0","239,84M","16,19%"
"01 oct 2020","1.791,0","1.880,0","1.972,0","1.615,0","174,91M","-5,49%"
"01 sept 2020","1.895,0","2.155,0","2.210,0","1.880,0","252,77M","-13,47%"
"01 ago 2020","2.190,0","2.150,0","2.270,0","2.100,0","152,07M","5,29%"
"01 jul 2020","2.080,0","2.105,0","2.265,0","2.020,0","155,87M","0,24%"
"01 jun 2020","2.075,0","1.945,0","2.430,0","1.945,0","193,65M","4,27%"
"01 may 2020","1.990,0","2.000,0","2.085,0","1.855,0","166,99M","-4,78%"
"01 abr 2020","2.090,0","1.900,0","2.400,0","1.750,0","231,48M","10,00%"
"01 mar 2020","1.900,0","3.140,0","3.195,0","1.300,0","269,62M","-38,81%"
"01 feb 2020","3.105,0","3.160,0","3.495,0","3.000,0","184,15M","-2,36%"
"01 ene 2020","3.180,0","3.315,0","3.435,0","3.140,0","161,13M","-4,07%"
"01 dic 2019","3.315,0","3.250,0","3.370,0","3.175,0","99,96M","0,76%"
"01 nov 2019","3.290,0","3.055,0","3.290,0","3.035,0","125,17M","8,22%"
"01 oct 2019","3.040,0","2.985,0","3.090,0","2.870,0","122,78M","3,05%"
"01 sept 2019","2.950,0","2.715,0","3.050,0","2.655,0","200,62M","7,66%"
"01 ago 2019","2.740,0","2.970,0","2.985,0","2.615,0","184,23M","-6,80%"
"01 jul 2019","2.940,0","2.920,0","3.110,0","2.895,0","167,57M","0,68%"
"01 jun 2019","2.920,0","2.785,0","3.030,0","2.725,0","133,09M","5,61%"
"01 may 2019","2.765,0","2.975,0","3.120,0","2.740,0","200,10M","-7,37%"
"01 abr 2019","2.985,0","3.460,0","3.465,0","2.965,0","173,88M","-12,59%"
"01 mar 2019","3.415,0","3.100,0","3.570,0","3.080,0","181,83M","9,46%"
"01 feb 2019","3.120,0","2.920,0","3.280,0","2.825,0","188,94M","6,85%"
"01 ene 2019","2.920,0","2.620,0","2.970,0","2.540,0","175,55M","10,40%"
"01 dic 2018","2.645,0","3.160,0","3.300,0","2.520,0","133,53M","-14,81%"
"01 nov 2018","3.105,0","3.700,0","3.740,0","2.990,0","218,81M","-16,98%"
"01 oct 2018","3.740,0","4.040,0","4.190,0","3.635,0","272,90M","-7,20%"
"01 sept 2018","4.030,0","3.400,0","4.030,0","3.350,0","287,92M","17,84%"
"01 ago 2018","3.420,0","3.055,0","3.455,0","2.985,0","193,33M","11,40%"
"01 jul 2018","3.070,0","3.025,0","3.095,0","2.850,0","161,86M","1,49%"
"01 jun 2018","3.025,0","3.080,0","3.125,0","2.800,0","211,31M","-2,10%"
"01 may 2018","3.090,0","3.060,0","3.315,0","2.855,0","354,93M","-0,32%"
"01 abr 2018","3.100,0","2.645,0","3.145,0","2.645,0","387,33M","18,55%"
"01 mar 2018","2.615,0","2.500,0","2.810,0","2.415,0","315,66M","4,18%"
"01 feb 2018","2.510,0","2.655,0","2.770,0","2.315,0","434,33M","-5,64%"
"01 ene 2018","2.660,0","2.200,0","2.860,0","2.175,0","472,22M","20,36%"
"01 dic 2017","2.210,0","1.755,0","2.210,0","1.755,0","191,93M","26,29%"
"01 nov 2017","1.750,0","1.690,0","1.850,0","1.675,0","312,53M","5,11%"
"01 oct 2017","1.665,0","1.395,0","1.690,0","1.380,0","333,29M","18,93%"
"01 sept 2017","1.400,0","1.360,0","1.420,0","1.345,0","208,65M","2,19%"
"01 ago 2017","1.370,0","1.385,0","1.400,0","1.340,0","173,48M","-1,79%"
"01 jul 2017","1.395,0","1.390,0","1.405,0","1.345,0","144,55M","1,09%"
"01 jun 2017","1.380,0","1.335,0","1.400,0","1.320,0","229,34M","3,37%"
"01 may 2017","1.335,0","1.350,0","1.485,0","1.310,0","395,79M","-1,84%"
"01 abr 2017","1.360,0","1.345,0","1.400,0","1.330,0","244,46M","0,74%"
"01 mar 2017","1.350,0","1.325,0","1.350,0","1.275,0","204,22M","2,27%"
"01 feb 2017","1.320,0","1.375,0","1.395,0","1.305,0","238,15M","-4,00%"
"01 ene 2017","1.375,0","1.370,0","1.425,0","1.360,0","187,92M","-0,36%"
"01 dic 2016","1.380,0","1.330,0","1.400,0","1.300,0","172,59M","4,55%"
"01 nov 2016","1.320,0","1.325,0","1.335,0","1.230,0","203,59M","0,76%"
"01 oct 2016","1.310,0","1.250,0","1.385,0","1.200,0","209,44M","4,80%"
"01 sept 2016","1.250,0","1.310,0","1.400,0","1.160,0","288,05M","-5,30%"
"01 ago 2016","1.320,0","1.280,0","1.340,0","1.200,0","199,27M","1,54%"
"01 jul 2016","1.300,0","1.385,0","1.415,0","1.285,0","168,13M","-6,81%"
"01 jun 2016","1.395,0","1.335,0","1.465,0","1.320,0","219,49M","4,10%"
"01 may 2016","1.340,0","1.410,0","1.470,0","1.330,0","268,96M","-5,30%"
"01 abr 2016","1.415,0","1.280,0","1.485,0","1.220,0","396,12M","8,02%"
"01 mar 2016","1.310,0","1.155,0","1.435,0","1.145,0","434,08M","14,91%"
"01 feb 2016","1.140,0","1.000,0","1.195,0","975,0","431,02M","10,68%"
"01 ene 2016","1.030,0","1.120,0","1.140,0","880,0","213,16M","-7,21%"
"01 dic 2015","1.110,0","1.310,0","1.320,0","1.080,0","129,64M","-14,94%"
"01 nov 2015","1.305,0","1.385,0","1.425,0","1.290,0","199,02M","-3,33%"
"01 oct 2015","1.350,0","1.335,0","1.535,0","1.305,0","199,68M","1,50%"
"01 sept 2015","1.330,0","1.550,0","1.565,0","1.285,0","180,13M","-16,61%"
"01 ago 2015","1.595,0","1.605,0","1.605,0","1.395,0","202,05M","-0,93%"
"01 jul 2015","1.610,0","1.715,0","1.725,0","1.545,0","217,22M","-6,94%"
"01 jun 2015","1.730,0","1.825,0","1.870,0","1.625,0","202,89M","-4,68%"
"01 may 2015","1.815,0","2.030,0","2.105,0","1.800,0","185,76M","-10,59%"
"01 abr 2015","2.030,0","1.980,0","2.110,0","1.975,0","194,65M","2,78%"
"01 mar 2015","1.975,0","2.095,0","2.095,0","1.750,0","248,39M","-5,28%"
"01 feb 2015","2.085,0","1.960,0","2.335,0","1.960,0","267,48M","6,65%"
"01 ene 2015","1.955,0","2.060,0","2.075,0","1.795,0","206,34M","-6,01%"
"01 dic 2014","2.080,0","2.280,0","2.310,0","1.750,0","201,01M","-9,17%"
"01 nov 2014","2.290,0","2.730,0","2.760,0","2.230,0","196,41M","-16,73%"
"01 oct 2014","2.750,0","3.155,0","3.175,0","2.730,0","192,93M","-13,11%"
"01 sept 2014","3.165,0","3.320,0","3.420,0","3.165,0","127,84M","-4,81%"
"01 ago 2014","3.325,0","3.165,0","3.335,0","3.090,0","166,91M","4,56%"
"01 jul 2014","3.180,0","3.410,0","3.410,0","3.100,0","182,84M","-6,74%"
"01 jun 2014","3.410,0","3.475,0","3.670,0","3.360,0","134,59M","-0,58%"
"01 may 2014","3.430,0","3.550,0","3.655,0","3.415,0","130,64M","-4,85%"
"01 abr 2014","3.605,0","4.025,0","4.060,0","3.445,0","186,96M","-10,55%"
"01 mar 2014","4.030,0","3.495,0","4.030,0","3.430,0","137,46M","15,14%"
"01 feb 2014","3.500,0","3.520,0","3.770,0","3.395,0","165,91M","-0,57%"
"01 ene 2014","3.520,0","3.700,0","3.715,0","3.330,0","174,52M","-4,86%"
"01 dic 2013","3.700,0","3.955,0","4.190,0","3.660,0","159,22M","-5,97%"
"01 nov 2013","3.935,0","4.500,0","4.510,0","3.880,0","106,53M","-12,56%"
"01 oct 2013","4.500,0","4.360,0","4.610,0","4.315,0","112,91M","2,74%"
"01 sept 2013","4.380,0","4.330,0","4.525,0","4.330,0","103,53M","1,04%"
"01 ago 2013","4.335,0","4.300,0","4.500,0","4.200,0","133,06M","0,00%"
"01 jul 2013","4.335,0","4.100,0","4.410,0","3.875,0","142,83M","6,25%"
"01 jun 2013","4.080,0","4.100,0","4.180,0","3.845,0","132,97M","0,00%"
"01 may 2013","4.080,0","4.330,0","4.380,0","3.905,0","177,55M","-7,06%"
"01 abr 2013","4.390,0","5.030,0","5.050,0","4.225,0","241,64M","-13,07%"
"01 mar 2013","5.050,0","5.200,0","5.220,0","4.895,0","131,22M","-3,07%"
"01 feb 2013","5.210,0","5.650,0","5.740,0","5.120,0","164,88M","-7,79%"
"01 ene 2013","5.650,0","5.460,0","5.650,0","5.330,0","106,18M","3,48%"
"01 dic 2012","5.460,0","5.300,0","5.500,0","5.200,0","93,81M","3,21%"
"01 nov 2012","5.290,0","5.450,0","5.450,0","5.110,0","102,54M","-2,94%"
"01 oct 2012","5.450,0","5.290,0","5.790,0","5.250,0","145,18M","2,83%"
"01 sept 2012","5.300,0","5.250,0","5.370,0","5.130,0","105,86M","0,57%"
"01 ago 2012","5.270,0","5.160,0","5.480,0","5.060,0","120,69M","2,33%"
"01 jul 2012","5.150,0","5.000,0","5.220,0","4.870,0","161,46M","3,31%"
"01 jun 2012","4.985,0","5.420,0","5.470,0","4.760,0","155,35M","-8,53%"
"01 may 2012","5.450,0","5.750,0","5.930,0","5.210,0","232,27M","-4,39%"
"01 abr 2012","5.700,0","5.420,0","5.800,0","5.220,0","196,59M","4,97%"
"01 mar 2012","5.430,0","5.170,0","5.540,0","5.100,0","206,10M","4,22%"
"01 feb 2012","5.210,0","4.620,0","5.210,0","4.565,0","289,24M","13,26%"
"01 ene 2012","4.600,0","4.200,0","4.645,0","4.170,0","246,46M","9,13%"
"01 dic 2011","4.215,0","4.085,0","4.305,0","4.000,0","171,65M","2,80%"
