Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
1/08/2022;2257;2285;2485;2200;23,85M;-1,01%
1/07/2022;2280;2270;2390;2060;7,96M;1,20%
1/06/2022;2253;3230;3320;2005;260,01M;-27,79%
1/05/2022;3120;3200;3480;2740;226,20M;-2,68%
1/04/2022;3206;3533;3660;3192;180,95M;-9,38%
1/03/2022;3538;3250;3610;3066;316,04M;8,43%
1/02/2022;3263;2905;3263;2817;216,80M;12,32%
1/01/2022;2905;2651;3080;2605;204,08M;7,99%
1/12/2021;2690;2600;2735;2555;91,66M;3,46%
1/11/2021;2600;2869;2956;2503;156,46M;-8,68%
1/10/2021;2847;2725;2990;2720;179,94M;4,13%
1/09/2021;2734;2622;2761;2501;198,97M;3,44%
1/08/2021;2643;2633;2690;2470;194,00M;0,38%
1/07/2021;2633;2760;2875;2440;140,19M;-3,27%
1/06/2021;2722;2245;2790;2230;150,99M;24,29%
1/05/2021;2190;2200;2418;2151;153,26M;-0,90%
1/04/2021;2210;2333;2374;2210;167,81M;-6,59%
1/03/2021;2366;2265;2480;2240;235,20M;5,16%
1/02/2021;2250;2068;2349;2028;212,26M;10,84%
1/01/2021;2030;2245;2491;2030;248,14M;-9,58%
1/12/2020;2245;2106;2380;2102;225,78M;7,88%
1/11/2020;2081;1795;2260;1795;239,84M;16,19%
1/10/2020;1791;1880;1972;1615;174,91M;-5,49%
1/09/2020;1895;2155;2210;1880;252,77M;-13,47%
1/08/2020;2190;2150;2270;2100;152,07M;5,29%
1/07/2020;2080;2105;2265;2020;155,87M;0,24%
1/06/2020;2075;1945;2430;1945;193,65M;4,27%
1/05/2020;1990;2000;2085;1855;166,99M;-4,78%
1/04/2020;2090;1900;2400;1750;231,48M;10,00%
1/03/2020;1900;3140;3195;1300;269,62M;-38,81%
1/02/2020;3105;3160;3495;3000;184,15M;-2,36%
1/01/2020;3180;3315;3435;3140;161,13M;-4,07%
1/12/2019;3315;3250;3370;3175;99,96M;0,76%
1/11/2019;3290;3055;3290;3035;125,17M;8,22%
1/10/2019;3040;2985;3090;2870;122,78M;3,05%
1/09/2019;2950;2715;3050;2655;200,62M;7,66%
1/08/2019;2740;2970;2985;2615;184,23M;-6,80%
1/07/2019;2940;2920;3110;2895;167,57M;0,68%
1/06/2019;2920;2785;3030;2725;133,09M;5,61%
1/05/2019;2765;2975;3120;2740;200,10M;-7,37%
1/04/2019;2985;3460;3465;2965;173,88M;-12,59%
1/03/2019;3415;3100;3570;3080;181,83M;9,46%
1/02/2019;3120;2920;3280;2825;188,94M;6,85%
1/01/2019;2920;2620;2970;2540;175,55M;10,40%
1/12/2018;2645;3160;3300;2520;133,53M;-14,81%
1/11/2018;3105;3700;3740;2990;218,81M;-16,98%
1/10/2018;3740;4040;4190;3635;272,90M;-7,20%
1/09/2018;4030;3400;4030;3350;287,92M;17,84%
1/08/2018;3420;3055;3455;2985;193,33M;11,40%
1/07/2018;3070;3025;3095;2850;161,86M;1,49%
1/06/2018;3025;3080;3125;2800;211,31M;-2,10%
1/05/2018;3090;3060;3315;2855;354,93M;-0,32%
1/04/2018;3100;2645;3145;2645;387,33M;18,55%
1/03/2018;2615;2500;2810;2415;315,66M;4,18%
1/02/2018;2510;2655;2770;2315;434,33M;-5,64%
1/01/2018;2660;2200;2860;2175;472,22M;20,36%
1/12/2017;2210;1755;2210;1755;191,93M;26,29%
1/11/2017;1750;1690;1850;1675;312,53M;5,11%
1/10/2017;1665;1395;1690;1380;333,29M;18,93%
1/09/2017;1400;1360;1420;1345;208,65M;2,19%
1/08/2017;1370;1385;1400;1340;173,48M;-1,79%
1/07/2017;1395;1390;1405;1345;144,55M;1,09%
1/06/2017;1380;1335;1400;1320;229,34M;3,37%
1/05/2017;1335;1350;1485;1310;395,79M;-1,84%
1/04/2017;1360;1345;1400;1330;244,46M;0,74%
1/03/2017;1350;1325;1350;1275;204,22M;2,27%
1/02/2017;1320;1375;1395;1305;238,15M;-4,00%
1/01/2017;1375;1370;1425;1360;187,92M;-0,36%
1/12/2016;1380;1330;1400;1300;172,59M;4,55%
1/11/2016;1320;1325;1335;1230;203,59M;0,76%
1/10/2016;1310;1250;1385;1200;209,44M;4,80%
1/09/2016;1250;1310;1400;1160;288,05M;-5,30%
1/08/2016;1320;1280;1340;1200;199,27M;1,54%
1/07/2016;1300;1385;1415;1285;168,13M;-6,81%
1/06/2016;1395;1335;1465;1320;219,49M;4,10%
1/05/2016;1340;1410;1470;1330;268,96M;-5,30%
1/04/2016;1415;1280;1485;1220;396,12M;8,02%
1/03/2016;1310;1155;1435;1145;434,08M;14,91%
1/02/2016;1140;1000;1195;975;431,02M;10,68%
1/01/2016;1030;1120;1140;880;213,16M;-7,21%
1/12/2015;1110;1310;1320;1080;129,64M;-14,94%
1/11/2015;1305;1385;1425;1290;199,02M;-3,33%
1/10/2015;1350;1335;1535;1305;199,68M;1,50%
1/09/2015;1330;1550;1565;1285;180,13M;-16,61%
1/08/2015;1595;1605;1605;1395;202,05M;-0,93%
1/07/2015;1610;1715;1725;1545;217,22M;-6,94%
1/06/2015;1730;1825;1870;1625;202,89M;-4,68%
1/05/2015;1815;2030;2105;1800;185,76M;-10,59%
1/04/2015;2030;1980;2110;1975;194,65M;2,78%
1/03/2015;1975;2095;2095;1750;248,39M;-5,28%
1/02/2015;2085;1960;2335;1960;267,48M;6,65%
1/01/2015;1955;2060;2075;1795;206,34M;-6,01%
1/12/2014;2080;2280;2310;1750;201,01M;-9,17%
1/11/2014;2290;2730;2760;2230;196,41M;-16,73%
1/10/2014;2750;3155;3175;2730;192,93M;-13,11%
1/09/2014;3165;3320;3420;3165;127,84M;-4,81%
1/08/2014;3325;3165;3335;3090;166,91M;4,56%
1/07/2014;3180;3410;3410;3100;182,84M;-6,74%
1/06/2014;3410;3475;3670;3360;134,59M;-0,58%
1/05/2014;3430;3550;3655;3415;130,64M;-4,85%
1/04/2014;3605;4025;4060;3445;186,96M;-10,55%
1/03/2014;4030;3495;4030;3430;137,46M;15,14%
1/02/2014;3500;3520;3770;3395;165,91M;-0,57%
1/01/2014;3520;3700;3715;3330;174,52M;-4,86%
1/12/2013;3700;3955;4190;3660;159,22M;-5,97%
1/11/2013;3935;4500;4510;3880;106,53M;-12,56%
1/10/2013;4500;4360;4610;4315;112,91M;2,74%
1/09/2013;4380;4330;4525;4330;103,53M;1,04%
1/08/2013;4335;4300;4500;4200;133,06M;0,00%
1/07/2013;4335;4100;4410;3875;142,83M;6,25%
1/06/2013;4080;4100;4180;3845;132,97M;0,00%
1/05/2013;4080;4330;4380;3905;177,55M;-7,06%
1/04/2013;4390;5030;5050;4225;241,64M;-13,07%
1/03/2013;5050;5200;5220;4895;131,22M;-3,07%
1/02/2013;5210;5650;5740;5120;164,88M;-7,79%
1/01/2013;5650;5460;5650;5330;106,18M;3,48%
1/12/2012;5460;5300;5500;5200;93,81M;3,21%
1/11/2012;5290;5450;5450;5110;102,54M;-2,94%
1/10/2012;5450;5290;5790;5250;145,18M;2,83%
1/09/2012;5300;5250;5370;5130;105,86M;0,57%
1/08/2012;5270;5160;5480;5060;120,69M;2,33%
1/07/2012;5150;5000;5220;4870;161,46M;3,31%
1/06/2012;4985;5420;5470;4760;155,35M;-8,53%
1/05/2012;5450;5750;5930;5210;232,27M;-4,39%
1/04/2012;5700;5420;5800;5220;196,59M;4,97%
1/03/2012;5430;5170;5540;5100;206,10M;4,22%
1/02/2012;5210;4620;5210;4565;289,24M;13,26%
1/01/2012;4600;4200;4645;4170;246,46M;9,13%
1/12/2011;4215;4085;4305;4000;171,65M;2,80%
1/11/2011;4100;3990;4100;3850;135,01M;2,50%
1/10/2011;4000;3870;4085;3700;154,96M;3,63%
1/09/2011;3860;3875;4175;3760;147,54M;0,13%
1/08/2011;3855;3735;3900;3580;223,64M;3,21%
1/07/2011;3735;3840;3895;3550;135,05M;-2,73%
1/06/2011;3840;4060;4080;3740;139,34M;-5,07%
1/05/2011;4045;3840;4055;3710;137,38M;6,45%
1/04/2011;3800;3900;3920;3585;75,12M;-2,19%
1/03/2011;3885;3985;4110;3735;143,22M;-2,02%
1/02/2011;3965;3990;4045;3735;123,55M;-0,13%
1/01/2011;3970;4100;4100;3800;96,77M;-3,17%
1/12/2010;4100;3900;4200;3840;210,40M;6,77%
1/11/2010;3840;4450;4745;3725;274,66M;-12,93%
1/10/2010;4410;3730;4420;3690;244,13M;19,19%
1/09/2010;3700;3500;3835;3485;235,58M;6,17%
1/08/2010;3485;3135;3490;3120;183,46M;12,24%
1/07/2010;3105;2755;3170;2720;206,23M;12,70%
1/06/2010;2755;2690;2785;2660;68,68M;2,04%
1/05/2010;2700;2770;2795;2580;165,80M;-2,35%
1/04/2010;2765;2700;2790;2670;156,08M;2,41%
1/03/2010;2700;2570;2720;2545;149,60M;5,47%
1/02/2010;2560;2450;2600;2400;143,58M;4,28%
1/01/2010;2455;2505;2515;2360;121,52M;-1,21%
1/12/2009;2485;2525;2615;2420;164,83M;-0,80%
1/11/2009;2505;2550;2710;2480;148,96M;-1,76%
1/10/2009;2550;2705;2720;2550;149,09M;-5,73%
1/09/2009;2705;2685;2735;2570;204,83M;0,93%
1/08/2009;2680;2790;2840;2670;189,88M;-3,42%
1/07/2009;2775;2585;2820;2460;366,56M;7,56%
1/06/2009;2580;2395;2585;2375;285,14M;8,18%
1/05/2009;2385;2140;2410;2130;227,55M;12,50%
1/04/2009;2120;2135;2195;2085;131,61M;-0,93%
1/03/2009;2140;2120;2160;2040;211,58M;1,66%
1/02/2009;2105;2030;2175;2000;237,61M;3,19%
1/01/2009;2040;2005;2095;1960;179,27M;1,75%
1/12/2008;2005;1990;2150;1940;333,81M;-0,25%
1/11/2008;2010;1995;2085;1810;333,37M;1,52%
1/10/2008;1980;2560;2605;1760;613,16M;-22,81%
1/09/2008;2565;2715;2895;2450;550,24M;-1,91%
