Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
30-ago-22;2.384,00;2.456,00;2.456,00;2.355,00;9,90M;-3,56%
29-ago-22;2.472,00;2.407,00;2.485,00;2.407,00;9,16M;2,23%
26-ago-22;2.418,00;2.440,00;2.440,00;2.380,00;9,27M;-1,71%
25-ago-22;2.460,00;2.480,00;2.480,00;2.420,00;4,67M;0,00%
24-ago-22;2.460,00;2.430,00;2.473,00;2.397,00;6,36M;2,07%
23-ago-22;2.410,00;2.299,00;2.425,00;2.299,00;13,88M;4,87%
22-ago-22;2.298,00;2.250,00;2.304,00;2.245,00;3,76M;1,37%
19-ago-22;2.267,00;2.291,00;2.322,00;2.267,00;2,99M;-2,41%
18-ago-22;2.323,00;2.295,00;2.337,00;2.291,00;13,50M;2,33%
17-ago-22;2.270,00;2.244,00;2.294,00;2.244,00;4,79M;0,84%
16-ago-22;2.251,00;2.297,00;2.311,00;2.250,00;14,90M;-4,13%
12-ago-22;2.348,00;2.325,00;2.348,00;2.291,00;3,48M;0,34%
11-ago-22;2.340,00;2.324,00;2.349,00;2.323,00;3,43M;0,86%
10-ago-22;2.320,00;2.321,00;2.333,00;2.292,00;4,25M;-0,64%
9-ago-22;2.335,00;2.315,00;2.355,00;2.315,00;6,25M;0,86%
8-ago-22;2.315,00;2.203,00;2.328,00;2.203,00;5,05M;2,89%
5-ago-22;2.250,00;2.213,00;2.250,00;2.200,00;4,97M;2,13%
4-ago-22;2.203,00;2.300,00;2.320,00;2.163,00;12,30M;-4,01%
3-ago-22;2.295,00;2.304,00;2.304,00;2.246,00;9,80M;-0,22%
2-ago-22;2.300,00;2.285,00;2.323,00;2.272,00;14,76M;2,22%
1-ago-22;2.250,00;2.250,00;2.271,00;2.206,00;3,71M;-1,32%
29-jul-22;2.280,00;2.300,00;2.345,00;2.280,00;7,96M;0,31%
28-jul-22;2.273,00;2.299,00;2.299,00;2.203,00;3,61M;-0,31%
27-jul-22;2.280,00;2.207,00;2.280,00;2.153,00;4,07M;3,64%
26-jul-22;2.200,00;2.195,00;2.249,00;2.182,00;2,76M;1,06%
25-jul-22;2.177,00;2.090,00;2.177,00;2.080,00;2,82M;5,68%
22-jul-22;2.060,00;2.141,00;2.149,00;2.060,00;4,51M;-3,33%
21-jul-22;2.131,00;2.180,00;2.189,00;2.100,00;7,41M;-3,14%
19-jul-22;2.200,00;2.116,00;2.202,00;2.115,00;5,13M;3,53%
18-jul-22;2.125,00;2.114,00;2.151,00;2.094,00;4,64M;1,29%
15-jul-22;2.098,00;2.149,00;2.150,00;2.085,00;5,83M;-1,50%
14-jul-22;2.130,00;2.248,00;2.248,00;2.106,00;8,27M;-6,04%
13-jul-22;2.267,00;2.190,00;2.309,00;2.190,00;5,51M;-1,26%
12-jul-22;2.296,00;2.289,00;2.328,00;2.240,00;19,97M;0,26%
11-jul-22;2.290,00;2.279,00;2.312,00;2.236,00;7,10M;-0,43%
8-jul-22;2.300,00;2.290,00;2.301,00;2.225,00;5,03M;0,88%
7-jul-22;2.280,00;2.200,00;2.280,00;2.200,00;4,97M;5,95%
6-jul-22;2.152,00;2.170,00;2.180,00;2.098,00;13,91M;-0,97%
5-jul-22;2.173,00;2.355,00;2.390,00;2.135,00;8,61M;-7,53%
1-jul-22;2.350,00;2.270,00;2.350,00;2.227,00;10,70M;4,31%
30-jun-22;2.253,00;2.270,00;2.311,00;2.228,00;9,05M;-0,88%
29-jun-22;2.273,00;2.390,00;2.410,00;2.273,00;20,33M;-4,46%
28-jun-22;2.379,00;2.250,00;2.380,00;2.250,00;19,86M;11,22%
24-jun-22;2.139,00;2.062,00;2.160,00;2.020,00;11,75M;6,68%
23-jun-22;2.005,00;2.300,00;2.300,00;2.005,00;26,27M;-13,61%
22-jun-22;2.321,00;2.401,00;2.401,00;2.300,00;12,48M;-4,52%
21-jun-22;2.431,00;2.710,00;2.710,00;2.373,00;25,00M;-11,92%
17-jun-22;2.760,00;2.815,00;2.815,00;2.685,00;39,52M;-1,95%
16-jun-22;2.815,00;2.860,00;2.865,00;2.800,00;11,73M;-1,88%
15-jun-22;2.869,00;2.970,00;2.970,00;2.851,00;7,05M;-3,40%
14-jun-22;2.970,00;3.005,00;3.068,00;2.935,00;6,09M;-1,00%
13-jun-22;3.000,00;3.140,00;3.170,00;3.000,00;9,14M;-4,76%
10-jun-22;3.150,00;3.160,00;3.170,00;3.101,00;6,34M;-0,79%
9-jun-22;3.175,00;3.244,00;3.244,00;3.175,00;8,73M;-2,31%
8-jun-22;3.250,00;3.299,00;3.299,00;3.250,00;4,92M;-1,22%
7-jun-22;3.290,00;3.269,00;3.293,00;3.257,00;7,17M;0,64%
6-jun-22;3.269,00;3.290,00;3.320,00;3.260,00;4,60M;-0,94%
3-jun-22;3.300,00;3.242,00;3.307,00;3.223,00;11,60M;1,48%
2-jun-22;3.252,00;3.270,00;3.280,00;3.240,00;7,13M;-1,39%
1-jun-22;3.298,00;3.230,00;3.300,00;3.220,00;11,25M;5,71%
31-may-22;3.120,00;3.000,00;3.307,00;3.000,00;46,27M;4,03%
27-may-22;2.999,00;2.950,00;3.000,00;2.910,00;4,95M;1,66%
26-may-22;2.950,00;2.915,00;2.994,00;2.915,00;5,79M;1,20%
25-may-22;2.915,00;2.900,00;2.943,00;2.880,00;5,71M;1,32%
24-may-22;2.877,00;2.885,00;2.902,00;2.841,00;3,30M;-0,45%
23-may-22;2.890,00;2.790,00;2.911,00;2.790,00;5,34M;1,80%
20-may-22;2.839,00;2.800,00;2.863,00;2.740,00;7,98M;1,39%
19-may-22;2.800,00;2.892,00;2.930,00;2.800,00;10,09M;-3,18%
18-may-22;2.892,00;3.075,00;3.101,00;2.872,00;15,35M;-6,26%
17-may-22;3.085,00;3.100,00;3.125,00;3.085,00;9,93M;-0,48%
16-may-22;3.100,00;3.098,00;3.153,00;3.090,00;9,14M;-0,06%
13-may-22;3.102,00;3.100,00;3.132,00;3.072,00;7,71M;1,70%
12-may-22;3.050,00;3.096,00;3.100,00;3.028,00;7,44M;-0,97%
11-may-22;3.080,00;3.130,00;3.180,00;3.080,00;15,29M;0,03%
10-may-22;3.079,00;3.110,00;3.165,00;3.027,00;6,82M;-0,52%
9-may-22;3.095,00;3.250,00;3.250,00;3.090,00;14,98M;-5,58%
6-may-22;3.278,00;3.310,00;3.332,00;3.261,00;3,96M;-1,12%
5-may-22;3.315,00;3.435,00;3.480,00;3.306,00;9,72M;-3,21%
4-may-22;3.425,00;3.320,00;3.435,00;3.319,00;19,45M;3,38%
3-may-22;3.313,00;3.249,00;3.324,00;3.233,00;9,99M;1,88%
2-may-22;3.252,00;3.200,00;3.252,00;3.169,00;6,98M;1,43%
29-abr-22;3.206,00;3.328,00;3.341,00;3.192,00;7,92M;-2,26%
27-abr-22;3.280,00;3.255,00;3.309,00;3.212,00;9,82M;1,05%
26-abr-22;3.246,00;3.308,00;3.328,00;3.246,00;10,59M;-1,04%
25-abr-22;3.280,00;3.316,00;3.316,00;3.210,00;16,78M;-2,24%
22-abr-22;3.355,00;3.293,00;3.355,00;3.280,00;12,12M;1,24%
21-abr-22;3.314,00;3.400,00;3.430,00;3.292,00;14,07M;-2,50%
20-abr-22;3.399,00;3.349,00;3.399,00;3.331,00;13,84M;1,49%
